Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Florosaurus,DE,iPad,0,the off,"The Office (U.S.): Season 3: ""Beach Games""",play,,2023-01-07 13:24:16
Florosaurus,DE,iPad,0,the off,"The Office (U.S.): Season 3: ""Women's Appreciation""",play,,2023-01-07 13:17:16
Florosaurus,DE,iPad,0,the off,,select,,2023-01-07 13:16:35
Florosaurus,DE,iPad,0,the off,"The Office (U.S.): Season 1: ""Pilot""",play,,2023-01-07 02:07:53
Florosaurus,DE,iPad,0,the off,"The Office (U.S.): Season 1: ""Pilot""",play,,2023-01-07 01:53:00
Florosaurus,DE,iPad,0,the off,,select,,2023-01-07 01:52:49
Florosaurus,DE,iPad,0,hinda,,select,,2023-01-06 02:20:36
Florosaurus,DE,iPad,0,,,select,prequery_results,2022-12-21 19:11:18
Florosaurus,DE,iPad,0,str,Stromberg - Der Film,play,,2022-12-16 13:21:32
Florosaurus,DE,iPad,0,str,Stromberg - Der Film,select,,2022-12-16 13:21:26
Florosaurus,DE,iPad,0,my next,My Next Guest with David Letterman and Volodymyr Zelenskyy,play,,2022-12-12 21:06:25
Florosaurus,DE,iPad,0,my next,My Next Guest with David Letterman and Volodymyr Zelenskyy,select,,2022-12-12 21:06:22
Florosaurus,DE,Android Phone,0,my next,My Next Guest with David Letterman and Volodymyr Zelenskyy,add,title_results,2022-12-12 20:39:23
Florosaurus,DE,Android Phone,0,my next,My Next Guest with David Letterman and Volodymyr Zelenskyy,select,title_results,2022-12-12 20:39:16
Florosaurus,DE,Android Phone,0,my next,,select,title_results,2022-12-12 20:37:51
Florosaurus,DE,Android Phone,0,my next,My Next Guest with David Letterman and Volodymyr Zelenskyy,select,title_results,2022-12-12 20:37:46
Florosaurus,DE,Android Phone,0,selens,,select,title_results,2022-12-12 20:03:59
Florosaurus,DE,iPad,0,house,"House of Cards: Season 2: ""Chapter 15""",play,,2022-12-10 00:43:47
Florosaurus,DE,iPad,0,house,,select,,2022-12-10 00:43:34
Florosaurus,DE,iPad,0,harry,"Harry & Meghan: Limited Series: ""Episode 1""",play,,2022-12-09 07:42:19
Florosaurus,DE,iPad,0,harry,,select,,2022-12-09 07:41:52
Florosaurus,DE,iPad,0,stromb,"Stromberg: Staffel 2: ""Die Kündigung""",play,,2022-12-08 12:50:34
Florosaurus,DE,iPad,0,stromb,,select,,2022-12-08 12:50:18
Florosaurus,DE,iPad,0,stra,"Stranger Things: ""Chapter One: The Vanishing of Will Byers""",play,,2022-12-02 18:48:41
Florosaurus,DE,iPad,0,stra,,select,,2022-12-02 18:47:43
Florosaurus,DE,iPad,0,big,"The Big Bang Theory: Season 9: ""The Positive Negative Reaction""",play,,2022-12-02 18:44:47
Florosaurus,DE,iPad,0,big,,select,,2022-12-02 18:44:42
Florosaurus,DE,Android Phone,0,mitt,Mitt,select,title_results,2022-10-31 20:58:20
Florosaurus,DE,iPad,0,big b,"The Big Bang Theory: Season 9: ""The Meemaw Materialization""",play,,2022-10-23 10:52:56
Florosaurus,DE,iPad,0,big b,,select,,2022-10-23 10:52:52
Florosaurus,DE,iPad,0,,"The Watcher: Season 1: ""Haunting""",play,,2022-10-23 06:25:47
Florosaurus,DE,iPad,0,,,select,prequery_results,2022-10-23 06:25:42
Florosaurus,DE,iPad,0,,"The Watcher: Season 1: ""The Gloaming""",play,,2022-10-22 20:48:50
Florosaurus,DE,iPad,0,,,select,prequery_results,2022-10-22 20:48:39
Florosaurus,DE,iPad,0,ozar,"Ozark: Season 4: ""Ace Deuce""",play,,2022-10-01 17:42:50
Florosaurus,DE,iPad,0,ozar,,select,,2022-10-01 17:42:46
Florosaurus,DE,iPad,0,ozar,Ozark,select,,2022-10-01 17:42:41
Florosaurus,DE,iPad,0,house,"House of Cards: Season 5: ""Chapter 53""",play,,2022-09-26 17:43:16
Florosaurus,DE,iPad,0,house,,select,,2022-09-26 17:42:26
Florosaurus,DE,iPad,0,russ,"Russian Doll: Season 2: ""Brain Drain""",play,,2022-09-18 08:38:31
Florosaurus,DE,iPad,0,russ,,select,,2022-09-18 08:38:24
Florosaurus,DE,iPad,0,andere ,Other World,play,,2022-08-29 11:01:04
Florosaurus,DE,iPad,0,andere ,Other World,select,,2022-08-29 11:00:52
Florosaurus,DE,iPad,0,modern,,select,,2022-08-24 10:19:54
Florosaurus,DE,iPad,0,obama ,,select,suggestion_results,2022-08-17 15:32:25
Florosaurus,DE,Android Phone,0,kings of ,,add,title_results,2022-08-16 07:42:11
Florosaurus,DE,Android Phone,0,kings of ,,select,title_results,2022-08-16 07:42:07
Florosaurus,DE,Android Phone,0,,,select,prequery_results,2022-07-25 12:54:15
Florosaurus,DE,Android Phone,0,,,select,prequery_results,2022-07-25 12:54:14
Florosaurus,DE,Android Phone,0,,,select,prequery_results,2022-07-25 12:54:13
Florosaurus,DE,iPad,0,kessl,"Kesslers Expedition: Mit dem Klapprad von Kopenhagen nach Berlin: ""Mit dem Klapprad von Kopenhagen nach Berlin (1/4)""",play,,2022-07-21 20:35:19
Florosaurus,DE,iPad,0,kessl,,select,,2022-07-21 20:34:47
Florosaurus,DE,iPad,0,betrer,"Better Call Saul: Season 6: ""Fun and Games""",play,,2022-07-21 13:43:09
Florosaurus,DE,iPad,0,betrer,,select,,2022-07-21 13:43:03
Florosaurus,DE,iPad,0,operation,Operation Valkyrie,select,,2022-06-29 02:35:09
Florosaurus,DE,iPad,0,operation,Operation Finale,select,,2022-06-29 02:34:59
Florosaurus,DE,iPad,0,modern,,select,,2022-06-27 13:41:12
