date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-2.8,-6.3,-0.2,0,0,,,,,0
2020-01-02,-2.9,-7.5,0.3,0,0,,,,,0
2020-01-03,4.5,0.3,8,2.9,0,,,,,12
2020-01-04,3.9,2.3,4.9,3.5,0,,,,,0
2020-01-05,3.5,2.8,4.3,0.4,0,,,,,0
2020-01-06,2.4,-0.9,5.6,0.4,0,,,,,143
2020-01-07,2.2,-1.3,5.7,0.3,0,,,,,0
2020-01-08,5,3.1,7,4.7,0,,,,,0
2020-01-09,8.5,6.9,10.3,13.7,0,,,,,0
2020-01-10,6.4,3.2,8.4,1.6,0,,,,,3
2020-01-11,2.2,-2.4,5.6,0,0,,,,,156
2020-01-12,2.1,-3.2,5.8,0.1,0,,,,,6
2020-01-13,4.5,3.1,5.7,0.2,0,,,,,0
2020-01-14,7.7,4.8,9.8,0.6,0,,,,,0
2020-01-15,9.3,7.1,12.4,1.1,0,,,,,164
2020-01-16,5.3,0.2,9.6,0,0,,,,,32
2020-01-17,2.8,-1.7,6.7,0.4,0,,,,,52
2020-01-18,2.8,-0.1,5.9,1.6,0,,,,,73
2020-01-19,2.3,0.9,4.7,0.2,0,,,,,109
2020-01-20,0.8,-4.1,5.6,0,0,,,,,28
2020-01-21,-2.2,-6.8,5.5,0,0,,,,,468
2020-01-22,-1.2,-7.7,3.5,0,0,,,,,242
2020-01-23,0.1,-3.3,1.2,0,0,,,,,0
2020-01-24,-1.6,-2.4,-0.8,0,0,,,,,0
2020-01-25,-1.8,-3.9,-0.1,0,0,,,,,0
2020-01-26,-0.1,-1.7,1.3,0,0,,,,,0
2020-01-27,3.8,1,5.8,11.4,0,,,,,0
2020-01-28,3.3,0.2,5.8,4.8,0,,,,,60
2020-01-29,2.2,0.9,5.7,4.1,0,,,,,76
2020-01-30,5.8,3,10.1,1.9,0,,,,,67
2020-01-31,11.1,9.3,14.4,0,0,,,,,279
2020-02-01,9.5,6.4,10.9,12.8,0,,,,,0
2020-02-02,7.9,4.6,11.7,4,0,,,,,0
2020-02-03,8.5,4.1,10.9,13.8,0,,,,,135
2020-02-04,2.6,0.6,4.1,7.3,0,,,,,48
2020-02-05,2.2,-2.2,6.7,0,0,,,,,525
2020-02-06,0.7,-2.5,4.3,0,0,,,,,0
2020-02-07,1.1,-2.3,5,0,0,,,,,495
2020-02-08,-0.3,-4.5,2.3,0,0,,,,,8
2020-02-09,6.8,0.2,11.7,6.4,0,,,,,85
2020-02-10,6.4,1.2,10.6,11,0,,,,,103
2020-02-11,2.7,0.1,5.3,7.9,0,,,,,99
2020-02-12,3,0.3,6.5,1.5,0,,,,,226
2020-02-13,1.2,-1.9,3.1,7.5,0,,,,,0
2020-02-14,3.9,0.7,5.6,0.3,0,,,,,8
2020-02-15,4.3,-1.6,10.5,0.1,0,,,,,280
2020-02-16,11.3,6.6,16,7.7,0,,,,,54
2020-02-17,6.4,3.7,9.3,3.3,0,,,,,72
2020-02-18,5.2,3.9,7.3,7.2,0,,,,,69
2020-02-19,3.5,-0.9,6.4,1,0,,,,,258
2020-02-20,5.1,1.4,8.3,5.1,0,,,,,20
2020-02-21,4.5,2.7,6.9,0,0,,,,,124
2020-02-22,5.9,-0.7,9.9,5,0,,,,,148
2020-02-23,8.1,3.1,11,14.4,0,,,,,0
2020-02-24,4.6,1.1,9.1,7.7,0,,,,,0
2020-02-25,6.3,1.1,9.3,5.6,0,,,,,215
2020-02-26,1.5,0.5,2.6,3.2,0,,,,,1
2020-02-27,1.2,0.1,3.2,10.2,0,,,,,0
2020-02-28,2.2,0.5,4.5,3.8,0,,,,,206
2020-02-29,5.4,1.5,11.2,3.4,0,,,,,127
2020-03-01,5.9,2.8,9.8,8,0,,,,,235
2020-03-02,4.2,0.1,8.1,3.3,0,,,,,24
2020-03-03,3.4,-2.1,8.3,0.1,0,,,,,290
2020-03-04,1.9,-2.9,9.5,4.5,0,,,,,157
2020-03-05,3.1,0.7,4.8,14.9,0,,,,,0
2020-03-06,4,3,5.4,0.6,0,,,,,0
2020-03-07,3.8,0.9,8.2,0,0,,,,,189
2020-03-08,6.6,2,11.2,3,0,,,,,60
2020-03-09,6,3.6,9.8,6.4,0,,,,,276
2020-03-10,7.6,3.1,12,18,0,,,,,0
2020-03-11,11.6,10.1,14,15.3,0,,,,,39
