date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,-3.1,-5.6,-0.3,0,0,51,5.4,13.3,1035.3,94
2020-01-02,-2.2,-6.2,0.8,0,0,136,4.3,12.2,1029.8,0
2020-01-03,4.5,0.6,7.8,0.8,10,196,12.2,37.4,1022,6
2020-01-04,3.6,0.5,5.2,1.7,0,246,16.9,42.1,1029.5,0
2020-01-05,4,2.7,5,0.1,0,209,4.7,14,1035.3,0
2020-01-06,2.1,-1.1,4.2,0,0,148,7.2,22,1028.9,3
2020-01-07,2.6,-0.7,5.1,0,0,161,7.9,26.3,1028.2,2
2020-01-08,4.5,3.4,6.1,4.6,0,144,7.6,22.7,1026.9,0
2020-01-09,8.4,6.1,10.1,16.5,0,155,11.5,27.7,1017.9,0
2020-01-10,7.3,3.4,10.6,0.4,0,224,15.5,43.9,1019.6,59
2020-01-11,3.1,-1,5.9,0,0,227,10.4,29.9,1032.7,165
2020-01-12,2.4,-1.2,5.5,0,0,185,11.9,37.1,1026.1,0
2020-01-13,5.1,3.8,6.1,0,0,164,10.8,29.2,1020.7,0
2020-01-14,8,5,10.2,0,0,164,16.6,42.1,1012.7,0
2020-01-15,10,6.7,12.9,0.8,0,187,19.4,53.3,1016.7,340
2020-01-16,8.2,3.4,11.8,0,0,152,7.9,28.1,1026.4,246
2020-01-17,4.6,-0.8,7.2,1,0,126,7.2,25.6,1019.9,176
2020-01-18,3.2,-0.1,5.4,0.3,0,236,12.6,33.5,1025.8,51
2020-01-19,2.3,-0.6,4.9,0,0,304,6.5,19.4,1037.2,29
2020-01-20,1.5,-2.9,5,0,0,14,7.2,22,1047.1,53
2020-01-21,-1.7,-5.2,4.8,0,0,56,3.2,10.4,1042.9,451
2020-01-22,-2.9,-6.2,-0.3,0,10,221,4,16.9,1037.5,15
2020-01-23,0.1,-1.7,2.2,0,0,52,5.4,16.6,1033,76
2020-01-24,-0.4,-1.2,0,0,0,170,8.3,22,1025.5,0
2020-01-25,-0.7,-1.8,0.3,0,0,187,5.8,15.8,1023.5,0
2020-01-26,0.9,-0.4,2.1,0,0,144,6.5,17.6,1019.9,0
2020-01-27,4.4,2,6.7,9.1,0,157,11.5,35.3,1010.4,0
2020-01-28,4.3,1.3,6.7,5.8,0,220,23.8,67.7,998.2,87
2020-01-29,2.9,1.5,6.2,1.1,0,225,17.6,63,1008.6,80
2020-01-30,6.1,3,9.4,0.7,0,202,18.4,41.8,1011.3,33
2020-01-31,11.8,9.2,14.4,0,0,231,23.4,47.9,1009.4,191
2020-02-01,10.2,6.7,11.9,16.5,0,217,18.7,46.1,1007.2,0
2020-02-02,8.4,5.3,12.5,4.1,0,231,21.6,60.1,1010.2,0
2020-02-03,8.9,5.3,11.1,11.2,0,237,21.2,59,1011.9,22
2020-02-04,3.6,1.1,5.9,2.4,0,268,15.8,47.5,1013.8,118
2020-02-05,3.2,-1.3,8.2,0,0,278,9.4,34.6,1033.3,503
2020-02-06,0.7,-2.2,4,0,0,193,5.8,17.3,1033.5,0
2020-02-07,1.2,-2.1,5.4,0,0,73,7.6,32,1029.5,483
2020-02-08,1.2,-3.2,4.3,0,0,92,4.7,18.7,1024.6,74
2020-02-09,7.6,1.4,12.7,9.9,0,179,25.2,79.6,1011.7,55
2020-02-10,7.3,2.4,12.7,9.4,0,235,36.7,93.6,998.3,169
2020-02-11,3.4,0.6,6.9,2.1,0,245,32.4,87.1,1006.1,214
2020-02-12,3.5,-0.2,7.1,0.3,0,239,25.2,58.3,1015.2,296
2020-02-13,2.1,-1.8,4.1,8.3,0,153,11.2,40.3,1009.1,0
2020-02-14,4.8,2,7.5,0,0,235,11.5,37.1,1019.2,18
2020-02-15,5.7,0.9,10.3,0,0,208,10.8,40.3,1021.7,285
2020-02-16,12.3,7.9,15.8,4.2,0,190,28.8,63,1010.2,18
2020-02-17,7.2,4.1,9.5,3.1,0,216,20.2,70.2,1015.7,44
2020-02-18,5.9,4.6,8.2,3.3,0,230,25.6,57.6,1022.7,66
2020-02-19,4.4,-0.1,6.8,0.1,0,235,19.8,52.6,1019.5,175
2020-02-20,6.1,2.5,9.9,0.5,0,199,19.4,64.8,1017.9,25
2020-02-21,5.1,3.4,7,0,0,237,24.1,56.9,1026,145
2020-02-22,6.5,0.7,10.3,1.1,0,205,22.3,59,1023.6,169
2020-02-23,9,3.6,11.9,5.7,0,239,30.6,77.8,1016.7,0
2020-02-24,5.5,1.5,10.3,3.5,0,203,15.8,59.4,1017.1,0
2020-02-25,7.4,2.3,10.7,5.6,0,237,23,55.8,1001.1,226
2020-02-26,2.5,1.3,4.3,2.8,0,236,20.9,54.4,999.8,8
2020-02-27,1.8,0,4.2,10.2,0,210,13.7,37.1,1002.7,0
2020-02-28,3.1,1.2,6,2.4,10,224,18,50.4,1015.2,129
2020-02-29,7.1,3.1,12.7,1.1,0,178,19.4,97.6,998.7,133
2020-03-01,6.9,4.1,9.6,3.5,0,201,22.7,58,996.3,250
2020-03-02,5.7,1.2,9.5,2.5,0,183,13.7,52.2,993.1,303
2020-03-03,4.6,0.8,8.3,0,0,246,15.5,44.6,1003,364
2020-03-04,3,-1,9.3,0.7,0,207,8.6,49,1011.7,129
2020-03-05,3.9,0.1,6,10.1,0,76,9.4,33.1,998.2,0
2020-03-06,5.3,4,7.2,0.6,0,234,17.6,49,994.9,0
2020-03-07,4.6,0.1,8,0,0,273,13.3,38.5,1017.3,76
2020-03-08,6.9,2.8,10.5,0.3,0,165,13.3,40,1015.8,50
2020-03-09,6.9,3.5,10.5,4.2,0,231,15.1,42.1,1013.6,314
2020-03-10,7.9,4.2,12.2,9.7,0,207,20.5,41.8,1009.4,0
2020-03-11,12.6,11.3,15.1,1.2,0,234,27.4,61.2,1011.6,78
2020-03-12,10,3.6,13.1,1.3,0,240,29.5,68,1011.3,173
2020-03-13,5.9,1.1,10.1,1.1,0,242,24.1,61.2,1018.1,210
2020-03-14,4.4,-0.2,10.1,0,0,82,6.8,34.2,1022.6,197
2020-03-15,8,3,13.7,0,0,145,11.5,36.4,1017.9,602
2020-03-16,8.4,0.4,16.1,0,0,59,5.4,16.6,1020,617
2020-03-17,10.1,3.6,15.6,0,0,251,9,29.9,1028.8,398
2020-03-18,8.8,1,16.1,0,0,221,8.3,36,1028.2,508
2020-03-19,10.2,5,16.8,0,0,52,5,19.4,1025,283
2020-03-20,8.9,4.8,13,0.6,0,30,17.3,46.8,1023.6,162
2020-03-21,4.5,0.2,7.7,0,0,47,27.7,67.7,1026.8,285
2020-03-22,2.4,-1.5,7.3,0,0,52,21.2,50,1032,685
2020-03-23,2,-3.7,7.8,0,0,77,14.8,40.7,1035.3,687
2020-03-24,2.6,-4.4,8.8,0,0,68,11.9,40.7,1033.1,691
2020-03-25,3.2,-4.6,9.8,0,0,44,18.7,46.4,1027.3,695
2020-03-26,4.8,-0.6,9.8,0,0,44,21.2,41.4,1021.8,616
2020-03-27,9.1,2.3,15.2,0,0,36,20.2,40,1018.3,676
2020-03-28,10.1,4,16.2,0,0,29,17.3,39.2,1019.6,679
2020-03-29,3.4,-1.2,8.1,0.1,0,,20.9,66.6,1025.3,145
2020-03-30,2.8,-3.4,8.3,0,0,10,10.4,33.1,1028.8,556
2020-03-31,3.6,-2.6,8.2,0,0,35,13.3,34.2,1028.4,543
2020-04-01,3,-4.7,10.8,0,0,100,5.4,21.6,1021.7,721
2020-04-02,5.1,-2.7,12.7,0,0,267,9.4,41,1013.7,720
2020-04-03,6.7,-0.1,12.4,0,0,247,11.5,33.1,1016.2,43
2020-04-04,6.4,-2.2,13.8,0,0,28,7.6,22.7,1024.6,677
2020-04-05,10.1,0.5,18.2,0,0,70,11.5,56.2,1023.8,735
2020-04-06,12.1,1.3,22.2,0,0,101,10.4,40.3,1022.4,739
2020-04-07,13.5,3.9,20.7,0,0,17,10.8,27,1029.3,721
2020-04-08,14.6,6.5,23.4,0,0,60,6.1,19.1,1025.2,734
2020-04-09,13.9,4.9,22.8,0,0,35,7.6,32.4,1023.6,365
2020-04-10,13.2,6.2,20.9,0,0,43,10.1,29.2,1025,609
2020-04-11,11.9,2.4,20.4,0,0,35,7.2,19.8,1024.1,755
2020-04-12,13.4,4.7,22.7,0,0,327,7.9,36.4,1016,607
2020-04-13,7.5,2.2,11.3,0,0,18,14.4,43.6,1018.1,400
2020-04-14,4.9,-2,10.6,0,0,341,10.8,29.5,1025.5,465
2020-04-15,7.4,-1.8,16.2,0,0,75,4.7,20.2,1024.5,652
2020-04-16,12.4,1,23.1,0,0,138,7.9,32.4,1017.2,724
2020-04-17,15.1,6.3,23.5,0,0,43,9.4,26.3,1015.3,740
2020-04-18,14.3,7.6,22.7,15.3,0,19,8.3,39.6,1015,300
2020-04-19,11.3,8.1,15.1,0,0,9,16.6,38.5,1017.7,130
2020-04-20,10.9,4.9,16.7,0,0,43,26.6,58.7,1018.8,791
2020-04-21,12.3,5.8,18.2,0,0,40,26.6,57.2,1017.8,794
2020-04-22,13.6,7,20.6,0,0,39,22.7,51.1,1019.7,798
2020-04-23,13.6,5.2,22,0,0,27,9.7,37.4,1019.3,795
2020-04-24,12.8,3.3,21.9,0,0,260,10.1,45.7,1011.9,597
2020-04-25,10.5,4.4,16.4,0,0,10,10.1,27.7,1012.2,655
2020-04-26,11.5,2.1,19.9,0,0,55,5.8,28.1,1010.8,810
2020-04-27,13.1,2.8,21.9,0,0,229,7.6,33.1,1008.1,706
2020-04-28,10.6,5.5,16.9,1.8,0,87,8.6,47.9,1005.4,46
2020-04-29,12.5,7.7,17.7,1.8,0,225,14.8,58,1006.3,249
2020-04-30,11.2,6.8,16.2,7,0,188,19.1,53.6,1003.5,78
2020-05-01,8.9,5,14.1,4.2,,204,15.1,49.7,1003.2,214
2020-05-02,8.4,5.6,12.3,2.5,,239,14.4,46.8,1009.6,259
2020-05-03,10.6,2.8,16.6,0,,231,9.4,28.1,1017.8,710
2020-05-04,9.9,4,12.8,1.6,,21,8.3,29.5,1017.5,80
2020-05-05,8.5,2.6,14.7,0,,40,12.2,35.3,1020.6,818
2020-05-06,9.9,1.5,17.3,0,,45,8.3,30.6,1024.5,843
2020-05-07,12.6,1.5,21.4,0,,169,5.4,23,1023.2,833
2020-05-08,16,6.4,23.2,0,,51,6.8,23.8,1017.3,617
2020-05-09,15.3,8.8,21.6,0,,56,8.3,24.8,1012.7,247
2020-05-10,14.5,9.2,22.5,3.2,,325,6.1,43.2,1005.9,133
