date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,0.8,-2.6,4.9,0,0,104,6.8,22.7,1034.4,457
2020-01-02,-1.5,-4.6,4.1,0,0,319,4.7,14.8,1031.4,466
2020-01-03,3.5,-4.2,8.4,1.9,0,236,10.4,41,1027,251
2020-01-04,4.3,2.8,7,0.8,0,272,18,46.1,1029.9,0
2020-01-05,2.5,-1.3,4.7,0,0,273,10.1,43.2,1036,24
2020-01-06,0.8,-2.5,6,0,0,154,5.8,20.5,1030.5,491
2020-01-07,2.4,-2.1,4.6,1.6,0,252,8.3,39.2,1030.2,3
2020-01-08,3.6,-1.3,7.2,0,0,199,6.1,18,1030.5,9
2020-01-09,7.7,3.6,14.5,0,0,212,6.8,21.2,1022.3,454
2020-01-10,7.4,2.3,11.2,0.9,0,246,13.7,41.8,1022.3,334
2020-01-11,4,0,5.4,0,0,300,8.3,29.2,1033,16
2020-01-12,0.5,-3.2,5.1,0,0,249,5.4,22.3,1029.5,452
2020-01-13,3.1,-0.6,7.2,0,0,164,5.8,16.6,1024.1,176
2020-01-14,4.9,-1.1,12.8,0,0,211,5.8,23.4,1019.3,452
2020-01-15,5.6,-0.7,12.8,0,0,231,6.5,20.9,1022.1,502
2020-01-16,7.3,0.2,12.4,0,0,128,7.9,25.9,1028.2,391
2020-01-17,5.6,-1.2,12.2,4.9,0,240,9.4,38.2,1022,393
2020-01-18,3.2,0.5,6.2,2.9,0,257,8.6,33.5,1027.4,0
2020-01-19,0.3,-0.8,1.6,1.9,0,284,6.8,26.6,1035.8,15
2020-01-20,0.4,-1.4,1.6,0,0,86,8.3,28.8,1045,2
2020-01-21,-1.2,-2.9,1.4,0,0,86,7.6,18.4,1041.8,458
2020-01-22,-2.4,-4,0.6,0,0,351,5.8,19.1,1036.6,163
2020-01-23,-1.9,-3.9,0,0,0,80,8.3,23,1032.3,1
2020-01-24,1,-3.2,8.7,0,0,232,5.4,16.9,1025.7,472
2020-01-25,2.9,-1.5,7.5,0,0,244,4.7,13.3,1022.7,159
2020-01-26,4,0.6,8.3,1.4,0,247,4,11.5,1020.1,127
2020-01-27,6.6,2.6,10.8,0.2,0,212,8.3,28.1,1014.7,325
2020-01-28,4.8,1.6,6.8,2.2,0,237,19.1,74.9,1004.8,99
2020-01-29,2.6,1.1,4.7,2.2,0,262,19.8,58.3,1012,106
2020-01-30,6.2,2.2,10.5,2.2,0,238,11.5,45,1015.9,432
2020-01-31,11.4,8.7,14.2,0,0,255,23.8,65.9,1013.6,127
2020-02-01,10.5,5.7,16.4,10,0,237,16.2,70.2,1011.9,368
2020-02-02,10.6,7.3,13.2,31.1,0,259,22.3,64.1,1014,8
2020-02-03,6.7,5.9,11.1,34.8,0,272,12.6,51.8,1016.7,0
2020-02-04,5,0.9,14,2,0,281,25.2,98.6,1012.3,70
2020-02-05,1.4,-1,2.6,0,0,302,16.2,58.7,1030.9,36
2020-02-06,0.9,-2.5,6.7,0,0,229,7.2,18.7,1033.1,561
2020-02-07,0.1,-3.6,4.7,0,0,81,7.6,25.9,1029.4,563
2020-02-08,2.2,-3.6,10.1,0,0,148,5.4,20.2,1026.1,468
2020-02-09,7,-0.6,14.2,0,0,204,10.4,29.9,1019.9,522
2020-02-10,10.4,6.4,15.9,10.3,0,256,32,118.8,1005,116
2020-02-11,3.9,1.6,9.6,2,0,265,27.7,89.6,1010.9,81
2020-02-12,3.3,1.8,4.9,0.8,0,260,21.2,54.7,1019.6,33
2020-02-13,5.2,1.1,9.8,4.5,0,177,12.6,81.4,1013.8,217
2020-02-14,5.9,4.7,8,0,0,261,19.4,68,1020.9,25
2020-02-15,6.1,0.6,12.1,0,0,179,6.8,23.8,1025.1,445
2020-02-16,11.2,6.1,17.2,0,0,180,10.1,29.9,1018.3,117
2020-02-17,11.6,7.2,14.9,0.7,0,266,14.4,51.8,1018.4,211
